	wt_d0._vs_TET3KO_d0._CI.L	wt_d0._vs_TET3KO_d0._CI.R	wt_d0._vs_TET3KO_d0._diff	wt_d0._vs_TET3KO_d0._p.adj	wt_d0._vs_TET3KO_d0._p.val	Protein.Group	Protein.Ids	Protein.Names	First.Protein.Description
AATF	0.161452157857798	1.07851571254934	0.619983935203571	0.410703850165778	0.0091413953320544	Q9NY61	Q9NY61	AATF_HUMAN	Protein AATF
ABAT	-0.2396683262207	0.760126761815846	0.260229217797573	0.765932595281307	0.300191086271915	P80404	P80404;H3BNQ7;H3BRN4	GABT_HUMAN	"""4-aminobutyrate aminotransferase, mitochondrial"""
ABCA1	1.23520122275056	8.0614462449147	4.64832373383263	0.405195832415772	0.0086841291427193	O95477	O95477	ABCA1_HUMAN	Phospholipid-transporting ATPase ABCA1
ABCA2	-0.466261770672981	0.466261770672981	0.0	0.857178666832875	1.0	Q9BZC7	Q9BZC7;A0A087WXK5;J3QSS3;E9PGB2	ABCA2_HUMAN	ATP-binding cassette sub-family A member 2
ABCA3	-5.18542506115671	6.26895573967936	0.541765339261325	0.845593299738853	0.849827724777734	Q99758	Q99758;H0Y3H2	ABCA3_HUMAN	ATP-binding cassette sub-family A member 3
ABCA4	-18.5333794893572	-9.22745626253521	-13.8804178759462	0.0064596917101678	2.84260955151652e-07	P78363	P78363;F6TT59	ABCA4_HUMAN	Retinal-specific phospholipid-transporting ATPase ABCA4
ABCA5	-16.7025227601227	-14.9569506599401	-15.8297367100314	1.31047036731824e-14	1.23540110211281e-35	Q8WWZ7	Q8WWZ7;K7EMV2;K7EPM3;A0A075B778	ABCA5_HUMAN	ATP-binding cassette sub-family A member 5
ABCA9	-3.17720394028267	3.17720394028267	0.0	0.857178666832875	1.0	Q8IUA7	Q8IUA7;H0Y4U7	ABCA9_HUMAN	ATP-binding cassette sub-family A member 9
ABCB10	-1.36231332768943	0.0029811987072807	-0.679666064491073	0.597431920694019	0.0509675528512356	Q9NRK6	Q9NRK6	ABCBA_HUMAN	"""ATP-binding cassette sub-family B member 10, mitochondrial"""
ABCB6	-0.829515917676842	0.578057581064639	-0.125729168306101	0.833740802396683	0.720798276311037	Q9NP58	Q9NP58	ABCB6_HUMAN	"""ATP-binding cassette sub-family B member 6, mitochondrial"""
ABCB7	-0.937317658753872	0.202635530135917	-0.367341064308977	0.731481925325748	0.201007809864891	O75027	O75027;A0A590UJS8;A0A2R8Y473;A0A087WW65;B4DGL8;A0A5F9ZA98	ABCB7_HUMAN	"""ATP-binding cassette sub-family B member 7, mitochondrial"""
ABCB8	-0.506127726517634	0.682595597311086	0.0882339353967261	0.838180392475051	0.766428681312031	Q9NUT2	Q9NUT2	MITOS_HUMAN	Mitochondrial potassium channel ATP-binding subunit
ABCC1	-0.949876977962262	-0.134205151647784	-0.542041064805023	0.423645104188755	0.0103063384495786	P33527	P33527;I3L4X2	MRP1_HUMAN	Multidrug resistance-associated protein 1
ABCC10	-0.927207584509628	0.882602451808193	-0.0223025663507173	0.854325520969709	0.960648254936327	Q5T3U5	Q5T3U5;H0Y904	MRP7_HUMAN	Multidrug resistance-associated protein 7
ABCC4	-0.93841572703251	0.7912335975487	-0.0735910647419047	0.846836973166174	0.864753427783868	O15439	O15439	MRP4_HUMAN	Multidrug resistance-associated protein 4
ABCC5	-1.080187734573	0.752645465619298	-0.163771134476853	0.833731545211034	0.720706331584383	O15440	O15440;F8WCY8	MRP5_HUMAN	Multidrug resistance-associated protein 5
ABCD1	-2.63992310775559	-0.455502534070914	-1.54771282091325	0.374164491668958	0.0064797456343114	P33897	P33897;A6NEP8	ABCD1_HUMAN	ATP-binding cassette sub-family D member 1
ABCD2	-4.39151912205015	4.39151912205015	1.11022302462516e-15	0.857178666832875	1.0	Q9UBJ2	Q9UBJ2	ABCD2_HUMAN	ATP-binding cassette sub-family D member 2
ABCD3	-0.804708124489923	0.0726259955479827	-0.36604106447097	0.665976284293193	0.099809647958838	P28288	P28288;A0A3B3ITW3	ABCD3_HUMAN	ATP-binding cassette sub-family D member 3
ABCD4	4.46874813434087	17.5551198503042	11.0119339923226	0.232577913179813	0.0014530440256954	O14678	O14678;H0YJ78	ABCD4_HUMAN	Lysosomal cobalamin transporter ABCD4
ABCE1	0.226498990705824	0.841418880077822	0.533958935391823	0.207961018380921	0.0010581268647183	P61221	P61221;D6RGF4;D6R9I9;H0Y990	ABCE1_HUMAN	ATP-binding cassette sub-family E member 1
ABCF1	0.112697256591165	0.60607061393095	0.359383935261057	0.351880119296519	0.0052251912713844	Q8NE71	Q8NE71;A0A0G2JIC2;H0YGW7	ABCF1_HUMAN	ATP-binding cassette sub-family F member 1
ABCF2	-0.130143634621338	0.57211150539207	0.220983935385366	0.736019862359163	0.211598639228399	Q9UG63	Q9UG63	ABCF2_HUMAN	ATP-binding cassette sub-family F member 2
ABCF3	-0.405353344486448	0.0762212153353999	-0.164566064575524	0.719348470402468	0.175576001317203	Q9NUQ8	Q9NUQ8	ABCF3_HUMAN	ATP-binding cassette sub-family F member 3
ABCG2	8.34477980062681	17.3610822500903	12.8529310253585	0.0104117675715649	7.10614698558326e-07	Q9UNQ0	Q9UNQ0;F8S0F2	ABCG2_HUMAN	Broad substrate specificity ATP-binding cassette transporter ABCG2
ABHD10	0.0680986090453514	1.05896926216684	0.563533935606095	0.527792091867297	0.0266827289906999	Q9NUJ1	Q9NUJ1	ABHDA_HUMAN	"""Mycophenolic acid acyl-glucuronide esterase, mitochondrial"""
ABHD11	-1.03803041355804	-0.137901715887067	-0.587966064722554	0.436330142656486	0.0115838403829186	Q8NFV4	Q8NFV4;C9J7Q4;H0YC52;H7BZ58	ABHDB_HUMAN	Protein ABHD11
ABHD12	-0.675643724112643	0.283561594832801	-0.196041064639921	0.792090987738015	0.414881163790258	Q8N2K0	Q8N2K0;Q5T712	ABD12_HUMAN	Lysophosphatidylserine lipase ABHD12
ABHD13	-3.67535084457865	11.7265983122797	4.02562373385055	0.765378958476048	0.298197999174709	Q7L211	Q7L211	ABHDD_HUMAN	Protein ABHD13
ABHD14A	-0.388530597479059	0.388530597479056	-1.5543122344752201e-15	0.857178666832875	0.999999999999994	Q9BUJ0	Q9BUJ0;K7N7A0	ABHEA_HUMAN	Protein ABHD14A
ABHD14B	-6.32369005873603	4.61096641606538	-0.856361821335327	0.836998277196126	0.753974906219875	Q96IU4	Q96IU4;F8W9U3;B4DQI4	ABHEB_HUMAN	Protein ABHD14B
ABHD15	-2.81744431392515	2.81744431392515	-1.77635683940025e-15	0.857178666832875	0.999999999999999	Q6UXT9	Q6UXT9	ABH15_HUMAN	Protein ABHD15
ABHD16A	-0.979387843104067	0.406705713799315	-0.286341064652376	0.791141162363014	0.409907396862113	O95870	O95870;A0A0G2JJD3	ABHGA_HUMAN	Phosphatidylserine lipase ABHD16A
ABHD17A	-1.6275500203576	-0.485591997432098	-1.05657100889485	0.166536248365003	0.0005325283799702	Q96GS6	Q96GS6;Q6PCB6;K7EQ25;K7ENJ6	AB17A_HUMAN	Alpha/beta hydrolase domain-containing protein 17A
ABHD17B	-1.77615460175751	0.326929096026752	-0.724612752865379	0.717536385005418	0.172106379121872	Q5VST6	Q5VST6	AB17B_HUMAN	Alpha/beta hydrolase domain-containing protein 17B
ABHD18	-5.49402205434193	3.04061646647888	-1.22670279393153	0.8158825003315	0.565663120468062	A0A2R8YEZ0;B7WP89	B7WP89;A0A2R8YEZ0	A0A2R8YEZ0_HUMAN;B7WP89_HUMAN	Protein ABHD18
ABHD3	-1.0707515389453	1.0707515389453	1.77635683940025e-15	0.857178666832875	0.999999999999997	Q8WU67	Q8WU67;J3KTE1	ABHD3_HUMAN	Phospholipase ABHD3
ABHD4	-4.25835840432838	3.80162627503029	-0.228366064649045	0.850448069421326	0.909684923616753	Q8TB40	Q8TB40	ABHD4_HUMAN	(Lyso)-N-acylphosphatidylethanolamine lipase
ABHD5	-1.7167891397407	0.345857010236701	-0.685466064751999	0.725284425676026	0.187520922593801	Q8WTS1	Q8WTS1;A0A2R8YG22;C9J1D1	ABHD5_HUMAN	1-acylglycerol-3-phosphate O-acyltransferase ABHD5
ABHD6	-3.02026926346127	3.02026926346128	3.5527136788005e-15	0.857178666832875	0.999999999999998	Q9BV23	Q9BV23	ABHD6_HUMAN	Monoacylglycerol lipase ABHD6
ABI1	0.242823163682273	0.988494706946911	0.615658935314592	0.248151595120876	0.0017479565844452	Q8IZP0	Q9NYB9;Q8IZP0;E9PEZ7;A0A0A0MRT6;A0A0C4DG21;B6VEX4;F8WAL6;B7Z836;H0Y6B5;E7EP65;E7EW77	ABI1_HUMAN	Abl interactor 1
ABI2	-1.47277778654592	-0.0289543425172935	-0.750866064531607	0.576466689147062	0.0418336027808529	Q9NYB9	Q9NYB9;H7C3Q7;A0A0C4DG21;F8WAL6;B7Z836;H0Y6B5;E7EP65;E7EW77	ABI2_HUMAN	Abl interactor 2
ABL1	-1.15662516694373	-0.496906962067464	-0.826766064505595	0.0314858378542039	7.54342946367578e-06	P00519	P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1
ABL2	-0.0081098585434314	1.17797772909144	0.584933935274005	0.60171116283507	0.0530839070892387	P42684	P42684	ABL2_HUMAN	Tyrosine-protein kinase ABL2
ABLIM1	9.45061819804438	15.1657713199674	12.3081947590059	1.48639970098382e-05	3.08673463714836e-11	O14639	O14639;F8W8M4;J3QSX6;F6XFR5;A0A494C1G0;A0A0A0MRL6;A0A3B3IS55;A0A494C1P1;H0Y7N6	ABLM1_HUMAN	Actin-binding LIM protein 1
ABR	-1.97787452002202	-0.599896744704476	-1.28888563236325	0.160262403194362	0.0004703722089527	Q12979	Q12979;A0A0G2JQ41;B7Z683;A0A1C7CYZ0;I3NI05	ABR_HUMAN	Active breakpoint cluster region-related protein
ABRACL	1.06882271221636	2.88959515814474	1.97920893518055	0.0798362959786969	6.87870403260149e-05	Q9P1F3	Q9P1F3;Q5SZC9	ABRAL_HUMAN	Costars family protein ABRACL
ABRAXAS1	-3.89375651087152	3.89375651087152	2.2204460492503099e-16	0.857178666832875	1.0	Q6UWZ7	Q6UWZ7;A0A087WWJ9;D6REL5;A0A087WZ78	ABRX1_HUMAN	BRCA1-A complex subunit Abraxas 1
ABRAXAS2	-1.45985409629746	-0.21867803290254	-0.8392660646	0.410554541408252	0.0091287083275405	Q15018	Q15018	ABRX2_HUMAN	BRISC complex subunit Abraxas 2
ABT1	-0.562238695515282	0.0900065664626257	-0.236116064526328	0.70601933401311	0.15181434513675	Q9ULW3	Q9ULW3	ABT1_HUMAN	Activator of basal transcription 1
ACAA1	-0.484437084724124	0.202754955530313	-0.140841064596906	0.791844554052505	0.413583987423391	P09110	P09110;C9JDE9;H7C131;H0Y4D4	THIK_HUMAN	"""3-ketoacyl-CoA thiolase, peroxisomal"""
ACAA2	-0.0519745067180042	0.799642378144782	0.373833935713389	0.648658832112796	0.083829522481342	P42765	P42765;A0A0B4J2A4	THIM_HUMAN	"""3-ketoacyl-CoA thiolase, mitochondrial"""
ACACA	-0.665566628882374	0.0432344991192363	-0.311166064881569	0.648631294023546	0.0838065075594803	Q13085	Q13085;Q59FY4;A0A087WWN5	ACACA_HUMAN	Acetyl-CoA carboxylase 1
ACAD10	-1.58667486851053	0.0741650988401372	-0.756254884835197	0.635040873534352	0.0732610197308779	Q6JQN1	Q6JQN1;F8W1I9;D6RFF6	ACD10_HUMAN	Acyl-CoA dehydrogenase family member 10
ACAD11	-4.77986295541678	1.79202917095697	-1.49391689222991	0.781882439035808	0.364897049782393	Q709F0	Q709F0	ACD11_HUMAN	Acyl-CoA dehydrogenase family member 11
ACAD8	-0.427845109476135	0.31056298023508	-0.0586410646205273	0.836678010070325	0.750639332476618	Q9UKU7	Q9UKU7	ACAD8_HUMAN	"""Isobutyryl-CoA dehydrogenase, mitochondrial"""
ACAD9	-0.60019638298033	0.12391425336388	-0.238141064808225	0.727424573287118	0.192056211643495	Q9H845	Q9H845;H0Y8Z9	ACAD9_HUMAN	"""Complex I assembly factor ACAD9, mitochondrial"""
ACADM	0.286400262531084	1.21011760799906	0.748258935265071	0.263924917239438	0.0020931967798837	P11310	P11310;E9PJM9;B7Z9I1;Q5T4U5	ACADM_HUMAN	"""Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"""
ACADS	-16.6383966477986	-7.87805775339421	-12.2582272005964	0.0124895028647565	1.0212956848366e-06	P16219	P16219;E9PE82	ACADS_HUMAN	"""Short-chain specific acyl-CoA dehydrogenase, mitochondrial"""
ACADSB	-0.0528496210100668	0.77181749199927	0.359483935494602	0.651144849121092	0.0859365718444204	P45954	P45954	ACDSB_HUMAN	"""Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"""
ACADVL	-1.01748460898749	-0.316797520139476	-0.667141064563484	0.150018434977279	0.0003823988819037	P49748	P49748	ACADV_HUMAN	"""Very long-chain specific acyl-CoA dehydrogenase, mitochondrial"""
ACAP1	-5.26933784457821	3.61630571529895	-0.826516064639627	0.832622198591145	0.709781959571645	Q15027	Q15027	ACAP1_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1"""
ACAP2	-3.1599941561634	3.08436202716815	-0.0378160644976262	0.855790485294847	0.980654995644768	Q15057	Q15057;A0A087X1H5;A0A0U1RQT1	ACAP2_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2"""
ACAP3	-2.92216016602865	2.92216016602865	0.0	0.857178666832875	1.0	Q96P50	Q96P50	ACAP3_HUMAN	"""Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3"""
ACAT1	-0.119912217435949	0.843530088102152	0.361808935333102	0.696718670013143	0.137418308884449	P24752	P24752;A0A5F9ZI66;A0A5F9ZHJ0;A0A5F9ZHD4	THIL_HUMAN	"""Acetyl-CoA acetyltransferase, mitochondrial"""
ACAT2	-0.371046389545585	0.62421426052268	0.126583935488547	0.821637136796399	0.611087021736968	Q9BWD1	Q9BWD1	THIC_HUMAN	"""Acetyl-CoA acetyltransferase, cytosolic"""
ACBD3	-0.39165841008038	0.104026281258916	-0.143816064410732	0.750094370869884	0.248818931799387	Q9H3P7	Q9H3P7	GCP60_HUMAN	Golgi resident protein GCP60
ACBD5	0.133415978616211	1.18100189178233	0.657208935199272	0.465003272947405	0.015057742988561	Q5T8D3	Q5T8D3;Q5T8E0;B7Z2R7;X6RDD7	ACBD5_HUMAN	Acyl-CoA-binding domain-containing protein 5
ACBD6	-0.774283416753866	0.11570128768757	-0.329291064533148	0.700566885634433	0.143176199090481	Q9BR61	Q9BR61;A0A2R8Y544	ACBD6_HUMAN	Acyl-CoA-binding domain-containing protein 6
ACD	-3.27054888063357	3.92236675161988	0.325908935493153	0.846115976334606	0.85606680407988	Q96AP0	Q96AP0;R4GNJ5;A0A590TQL1	ACD_HUMAN	Adrenocortical dysplasia protein homolog
ACE	-6.19942466093976	6.19942466093976	2.2204460492503099e-16	0.857178666832875	1.0	P12821	P12821;F6X3S4;J3KTB8;A0A0A0MSN4	ACE_HUMAN	Angiotensin-converting enzyme
ACHE	-0.836383735087864	0.836383735087861	-1.11022302462516e-15	0.857178666832875	0.999999999999998	P22303	P22303;C9J2S3;F8WAR7;F8WD68;C9JZL6	ACES_HUMAN	Acetylcholinesterase
ACIN1	0.416150700775117	1.20016716943769	0.808158935106405	0.105590697263913	0.0001420568205584	Q9UKV3	Q9UKV3;G3V3B0;E7EQT4;S4R3H4;G3V3T3	ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus
ACLY	-0.387557091967594	0.487724962822092	0.0500839354272493	0.842934733074389	0.818838527231212	P53396	P53396	ACLY_HUMAN	ATP-citrate synthase
ACO1	-0.635580943199904	0.0874988140287969	-0.274041064585553	0.694292171274947	0.133923930067523	P21399	P21399	ACOC_HUMAN	Cytoplasmic aconitate hydratase
ACO2	0.0611782963145455	0.73608957452724	0.398633935420893	0.504769658429317	0.021626271657157	Q99798	Q99798;A2A274	ACON_HUMAN	"""Aconitate hydratase, mitochondrial"""
ACOT1	-0.823120183858772	-0.283811945336606	-0.553466064597689	0.107952843616862	0.0001505365857695	Q86TX2	Q86TX2;P49753;A0A087WT95;A0A087X0W7;G3V4F2	ACOT1_HUMAN	Acyl-coenzyme A thioesterase 1
ACOT7	0.198171639558517	0.693746231163345	0.445958935360931	0.183290140172432	0.0007248311881093	O00154	O00154;K7EKP8	BACH_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase
ACOT8	-0.151124010543145	0.624441880802005	0.23665893512943	0.741603992463362	0.22553299567134	O14734	O14734;Q9BR14;E9PJN0;E9PMC4;E9PIS4;H7C5A7;H0Y698	ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8
ACOT9	-0.593404214946645	0.274022085529943	-0.159691064708351	0.800543967314118	0.462382721000638	Q9Y305	Q9Y305;H7C5Q2;C9J7L8	ACOT9_HUMAN	"""Acyl-coenzyme A thioesterase 9, mitochondrial"""
ACOX1	-2.02423469950796	0.0406946498074263	-0.991770024850268	0.613344658033121	0.0593353544685291	Q15067	Q15067	ACOX1_HUMAN	Peroxisomal acyl-coenzyme A oxidase 1
ACOX3	-1.77805093184883	0.316981215046534	-0.73053485840115	0.714846478956446	0.167100811883597	O15254	O15254	ACOX3_HUMAN	Peroxisomal acyl-coenzyme A oxidase 3
ACP1	0.851180677421379	2.35538719310478	1.60328393526308	0.0888110214895984	9.05028797360075e-05	P24666	P24666;G5E9R5	PPAC_HUMAN	Low molecular weight phosphotyrosine protein phosphatase
ACP2	-0.841484500621566	-0.0086476291385317	-0.425066064880049	0.585687976999634	0.0456137127409753	P11117	P11117;E9PQY3;E9PHY0;A0A5F9ZHR7;B7Z6U3;A0A5F9ZH40;A0A5F9ZH82;B7Z7D2;A0A5F9ZI20	PPAL_HUMAN	Lysosomal acid phosphatase
ACSF2	-0.64356708774381	0.486284958210759	-0.0786410647665257	0.839498148155136	0.780578370952988	Q96CM8	Q96CM8;E9PF16	ACSF2_HUMAN	"""Medium-chain acyl-CoA ligase ACSF2, mitochondrial"""
ACSF3	-0.222693483701687	0.451111354469593	0.114208935383953	0.806312635943156	0.498435804850771	Q4G176	Q4G176;F5H5A1;A0A3B3ISK9;F5H362;F5H755	ACSF3_HUMAN	"""Malonate--CoA ligase ACSF3, mitochondrial"""
ACSL1	-0.579287524572223	0.358305395171499	-0.110491064700362	0.824757604992191	0.637449227604508	P33121	P33121;E7EPM6;B7Z3Z9;D6RER0;H0Y9Z9	ACSL1_HUMAN	Long-chain-fatty-acid--CoA ligase 1
ACSL3	-0.0058237719318115	0.856291642625659	0.425233935346924	0.601635843021317	0.0530458439526394	O95573	O95573	ACSL3_HUMAN	Long-chain-fatty-acid--CoA ligase 3
ACSL4	-0.43980363819182	0.372921509249012	-0.033441064471404	0.847199909409881	0.869161524527603	O60488	O60488;D6RF95	ACSL4_HUMAN	Long-chain-fatty-acid--CoA ligase 4
ACSL6	-2.84020312190289	2.84020312190289	0.0	0.857178666832875	1.0	Q9UKU0	Q9UKU0;A0A494C0B6;A0A494C116;A0A494C0J9;A0A499FJL5;A0A494BZW8;C9J3Z0;C9J8C7;A0A494C1I9;A0A494C0A5;A0A494C005;A0A494C046	ACSL6_HUMAN	Long-chain-fatty-acid--CoA ligase 6
ACSS2	-1.10578909072782	2.3699166330723	0.632063771172241	0.801448187260855	0.467828834343841	Q9NR19	Q9NR19;F8WDJ9;B4DEH9;C9IYL0;C9J7L5;C9JXD9;F8WCJ4;C9JY31	ACSA_HUMAN	"""Acetyl-coenzyme A synthetase, cytoplasmic"""
ACSS3	-1.53719003794692	-0.126570993754238	-0.831880515850578	0.505747035430442	0.0218196597634097	Q9H6R3	Q9H6R3;A0A0B4J1R2	ACSS3_HUMAN	"""Acyl-CoA synthetase short-chain family member 3, mitochondrial"""
ACTA2	0.114661314809367	1.18450655571844	0.649583935263902	0.487030978122171	0.0184019075883748	P62736	P62736;P68032;P68133;P63267;A6NL76;F8WB63;C9JFL5;B8ZZJ2;F6UVQ4;F6QUT6	ACTA_HUMAN	"""Actin, aortic smooth muscle"""
ACTB	11.3579478808349	23.468892227044	17.4134200539395	0.0095306299574834	5.99296099189891e-07	A0A2R8Y793	A0A2R8Y793	A0A2R8Y793_HUMAN	"""Actin, cytoplasmic 1 (Fragment)"""
ACTB	0.278494937152924	0.889022933584582	0.583758935368753	0.147588723232178	0.0003637623046753	P60709	P63261;P60709;I3L4N8;G5E9R0;I3L3R2;I3L1U9;E7EVS6;I3L3I0;J3KT65;A0A2R8Y793;A0A2R8YGF8	ACTB_HUMAN	"""Actin, cytoplasmic 1"""
ACTBL2	-0.194450785810511	0.986968656716393	0.396258935452941	0.723352993281166	0.183534046011973	Q562R1	Q562R1	ACTBL_HUMAN	Beta-actin-like protein 2
ACTG1	-1.45829843246252	2.97911630321285	0.760408935375168	0.805590200793041	0.493746814727932	K7EM38	K7EM38	K7EM38_HUMAN	"""Actin, cytoplasmic 2 (Fragment)"""
ACTG1	-4.27624780101653	4.27624780101653	-2.2204460492503099e-16	0.857178666832875	1.0	P63261	P63261;I3L4N8;I3L3R2;I3L1U9;I3L3I0;K7EM38;J3KT65	ACTG_HUMAN	"""Actin, cytoplasmic 2"""
ACTL6A	0.159218628834482	0.814699241888163	0.486958935361322	0.335792422680491	0.0044588551391621	O96019	O96019;H7C5S0	ACL6A_HUMAN	Actin-like protein 6A
ACTL6B	-0.387151969338817	0.38715196933881	-3.5527136788005e-15	0.857178666832874	0.999999999999985	O94805	O94805;C9JQT4	ACL6B_HUMAN	Actin-like protein 6B
ACTN1	-1.68532469329127	0.703542564304563	-0.490891064493354	0.791612054480271	0.412364488520196	H9KV75	H9KV75	H9KV75_HUMAN	Alpha-actinin cytoskeletal isoform
ACTN1	-0.116890442011291	0.37435831311644	0.128733935552575	0.765030452738266	0.296951310408532	P12814	P12814;H9KV75;G3V2N5;G3V2W4	ACTN1_HUMAN	Alpha-actinin-1
ACTN2	-2.47154478281454	4.47345899476075	1.0009571059731	0.81574184191387	0.564602238662868	P35609	P35609;A0A494C1A0;F6THM6	ACTN2_HUMAN	Alpha-actinin-2
ACTN4	-0.529956562490573	0.0192244331749736	-0.2553660646578	0.626784047904946	0.0675771338028539	H7C144	H7C144	H7C144_HUMAN	Alpha-actinin-4 (Fragment)
ACTN4	-0.194301800548042	0.699369670701979	0.252533935076968	0.754233247304744	0.26117979747971	K7EJH8	K7EJH8	K7EJH8_HUMAN	Alpha-actinin-4 (Fragment)
ACTN4	0.312525983285198	0.701591887488697	0.507058935386947	0.0231373233255478	3.81878693106456e-06	O43707	O43707;H7C144;F5GXS2	ACTN4_HUMAN	Alpha-actinin-4
ACTR10	-3.46569854250833	-0.866287946795154	-2.16599324465174	0.240600004054342	0.0015996025365712	Q9NZ32	Q9NZ32;V9GYX7;F6S9Y6;G3V2Q5;G3V5Y4	ARP10_HUMAN	Actin-related protein 10
ACTR1A	0.0024665725285218	0.545801298272391	0.274133935400457	0.591182961565688	0.0480392176195566	P61163	P61163;A0A1B0GVS3;R4GMT0	ACTZ_HUMAN	Alpha-centractin
ACTR1B	-1.90162487313989	-0.0954841192673146	-0.998554496203603	0.544046060662061	0.0309733584343962	P42025	P42025	ACTY_HUMAN	Beta-centractin
ACTR2	-0.223103877707487	1.01367174878618	0.395283935539346	0.733072757202771	0.204648970290598	P61160	P61160;A0A1B0GWH0;A0A1B0GWD0	ARP2_HUMAN	Actin-related protein 2
ACTR3	0.0882203604884912	0.702197510402905	0.395208935445698	0.44693530626571	0.0127670306831447	P61158	P61158;B4DXW1	ARP3_HUMAN	Actin-related protein 3
ACTR3B	-4.44465377744932	4.86410775240802	0.20972698747935	0.851876340650357	0.92812488862076	Q9P1U1	Q9P1U1	ARP3B_HUMAN	Actin-related protein 3B
ACTR5	-1.42310157675765	1.43307712639314	0.0049877748177458	0.856781110572117	0.994421185369904	Q9H9F9	Q9H9F9	ARP5_HUMAN	Actin-related protein 5
ACTR6	-2.99287909571095	2.99287909571095	-6.66133814775094e-16	0.857178666832875	1.0	Q9GZN1	Q9GZN1;F8W043;F8W0Q1;F8VRL1;F8W057;F8VP72	ARP6_HUMAN	Actin-related protein 6
